,UF,CARGO,COR,propor14,propor18,Variaçao 14-18
0,AC,DEPUTADO ESTADUAL,BRANCA,0.1641509433962264,0.19829424307036247,0.20799941180795536
1,AC,DEPUTADO ESTADUAL,PRETA,0.09056603773584905,0.057569296375266525,-0.3643390191897654
2,AC,DEPUTADO ESTADUAL,PARDA,0.7339622641509433,0.7356076759061834,0.0022418206433861493
3,AC,DEPUTADO ESTADUAL,AMARELA,0.009433962264150943,0.0021321961620469083,-0.7739872068230277
4,AC,DEPUTADO ESTADUAL,INDÍGENA,0.0018867924528301887,0.006396588486140725,2.390191897654584
5,AC,DEPUTADO FEDERAL,BRANCA,0.3076923076923077,0.2619047619047619,-0.1488095238095238
6,AC,DEPUTADO FEDERAL,PRETA,0.06153846153846154,0.07142857142857142,0.1607142857142856
7,AC,DEPUTADO FEDERAL,PARDA,0.6,0.6428571428571429,0.07142857142857155
8,AC,DEPUTADO FEDERAL,AMARELA,0.015384615384615385,0.0,-1.0
9,AC,DEPUTADO FEDERAL,INDÍGENA,0.015384615384615385,0.023809523809523808,0.5476190476190474
10,AC,SENADOR,BRANCA,0.25,0.6666666666666666,1.6666666666666665
11,AC,SENADOR,PRETA,0.0,0.0,
12,AC,SENADOR,PARDA,0.5,0.16666666666666666,-0.6666666666666667
13,AC,SENADOR,AMARELA,0.0,0.16666666666666666,inf
14,AC,SENADOR,INDÍGENA,0.25,0.0,-1.0
15,AL,DEPUTADO ESTADUAL,BRANCA,0.33876221498371334,0.35843373493975905,0.058068813716404176
16,AL,DEPUTADO ESTADUAL,PRETA,0.06188925081433225,0.09337349397590361,0.508719086873811
17,AL,DEPUTADO ESTADUAL,PARDA,0.5960912052117264,0.5421686746987951,-0.09046020146158416
18,AL,DEPUTADO ESTADUAL,AMARELA,0.0,0.0,
19,AL,DEPUTADO ESTADUAL,INDÍGENA,0.003257328990228013,0.006024096385542169,0.8493975903614458
20,AL,DEPUTADO FEDERAL,BRANCA,0.4672131147540984,0.6219512195121951,0.331193838254172
21,AL,DEPUTADO FEDERAL,PRETA,0.040983606557377046,0.08536585365853659,1.082926829268293
22,AL,DEPUTADO FEDERAL,PARDA,0.48360655737704916,0.2804878048780488,-0.4200082678792889
23,AL,DEPUTADO FEDERAL,AMARELA,0.00819672131147541,0.0,-1.0
24,AL,DEPUTADO FEDERAL,INDÍGENA,0.0,0.012195121951219513,inf
25,AL,SENADOR,BRANCA,0.75,0.5555555555555556,-0.25925925925925924
26,AL,SENADOR,PRETA,0.0,0.0,
27,AL,SENADOR,PARDA,0.25,0.4444444444444444,0.7777777777777777
28,AL,SENADOR,AMARELA,0.0,0.0,
29,AL,SENADOR,INDÍGENA,0.0,0.0,
30,AP,DEPUTADO ESTADUAL,BRANCA,0.34203655352480417,0.2515212981744422,-0.2646362045739591
31,AP,DEPUTADO ESTADUAL,PRETA,0.11488250652741515,0.13995943204868155,0.21828323806011438
32,AP,DEPUTADO ESTADUAL,PARDA,0.5300261096605744,0.6024340770791075,0.13661207645959686
33,AP,DEPUTADO ESTADUAL,AMARELA,0.005221932114882507,0.004056795131845842,-0.22312373225152132
34,AP,DEPUTADO ESTADUAL,INDÍGENA,0.007832898172323759,0.002028397565922921,-0.7410412440838404
35,AP,DEPUTADO FEDERAL,BRANCA,0.3217391304347826,0.226890756302521,-0.29479900068135356
36,AP,DEPUTADO FEDERAL,PRETA,0.10434782608695652,0.24369747899159663,1.335434173669468
37,AP,DEPUTADO FEDERAL,PARDA,0.5652173913043478,0.5126050420168067,-0.09308338720103428
38,AP,DEPUTADO FEDERAL,AMARELA,0.008695652173913044,0.008403361344537815,-0.033613445378151315
39,AP,DEPUTADO FEDERAL,INDÍGENA,0.0,0.008403361344537815,inf
40,AP,SENADOR,BRANCA,0.4,0.5833333333333334,0.45833333333333337
41,AP,SENADOR,PRETA,0.2,0.08333333333333333,-0.5833333333333334
42,AP,SENADOR,PARDA,0.4,0.3333333333333333,-0.16666666666666677
43,AP,SENADOR,AMARELA,0.0,0.0,
44,AP,SENADOR,INDÍGENA,0.0,0.0,
45,AM,DEPUTADO ESTADUAL,BRANCA,0.2857142857142857,0.2732824427480916,-0.043511450381679334
46,AM,DEPUTADO ESTADUAL,PRETA,0.061224489795918366,0.07633587786259542,0.24681933842239193
47,AM,DEPUTADO ESTADUAL,PARDA,0.6420722135007849,0.6259541984732825,-0.025103118759215278
48,AM,DEPUTADO ESTADUAL,AMARELA,0.0,0.004580152671755725,inf
49,AM,DEPUTADO ESTADUAL,INDÍGENA,0.01098901098901099,0.01984732824427481,0.8061068702290075
50,AM,DEPUTADO FEDERAL,BRANCA,0.3373493975903614,0.3092105263157895,-0.08341165413533823
51,AM,DEPUTADO FEDERAL,PRETA,0.03614457831325301,0.09868421052631579,1.7302631578947367
52,AM,DEPUTADO FEDERAL,PARDA,0.6144578313253012,0.5592105263157895,-0.08991228070175433
53,AM,DEPUTADO FEDERAL,AMARELA,0.0,0.006578947368421052,inf
54,AM,DEPUTADO FEDERAL,INDÍGENA,0.012048192771084338,0.02631578947368421,1.1842105263157892
55,AM,SENADOR,BRANCA,0.6666666666666666,0.6666666666666666,0.0
56,AM,SENADOR,PRETA,0.0,0.1111111111111111,inf
57,AM,SENADOR,PARDA,0.3333333333333333,0.2222222222222222,-0.3333333333333333
58,AM,SENADOR,AMARELA,0.0,0.0,
59,AM,SENADOR,INDÍGENA,0.0,0.0,
60,BA,DEPUTADO ESTADUAL,BRANCA,0.2648809523809524,0.23244929797191888,-0.12243860540938492
61,BA,DEPUTADO ESTADUAL,PRETA,0.20238095238095238,0.24804992199687986,0.2256584381022299
62,BA,DEPUTADO ESTADUAL,PARDA,0.5267857142857143,0.5070202808112324,-0.03752082286681309
63,BA,DEPUTADO ESTADUAL,AMARELA,0.001488095238095238,0.0062402496099844,3.193447737909517
64,BA,DEPUTADO ESTADUAL,INDÍGENA,0.004464285714285714,0.0062402496099844,0.39781591263650556
65,BA,DEPUTADO FEDERAL,BRANCA,0.3359173126614987,0.2745490981963928,-0.18268845383073842
66,BA,DEPUTADO FEDERAL,PRETA,0.17054263565891473,0.20440881763527055,0.19857897613408643
67,BA,DEPUTADO FEDERAL,PARDA,0.4754521963824289,0.5150300601202404,0.08324257210072315
68,BA,DEPUTADO FEDERAL,AMARELA,0.00516795865633075,0.0,-1.0
69,BA,DEPUTADO FEDERAL,INDÍGENA,0.012919896640826873,0.006012024048096192,-0.5346693386773547
70,BA,SENADOR,BRANCA,0.5714285714285714,0.5454545454545454,-0.04545454545454547
71,BA,SENADOR,PRETA,0.2857142857142857,0.18181818181818182,-0.3636363636363636
72,BA,SENADOR,PARDA,0.14285714285714285,0.2727272727272727,0.9090909090909091
73,BA,SENADOR,AMARELA,0.0,0.0,
74,BA,SENADOR,INDÍGENA,0.0,0.0,
75,CE,DEPUTADO ESTADUAL,BRANCA,0.4945054945054945,0.3949579831932773,-0.20130718954248372
76,CE,DEPUTADO ESTADUAL,PRETA,0.05023547880690738,0.06890756302521009,0.37169117647058825
77,CE,DEPUTADO ESTADUAL,PARDA,0.4474097331240188,0.519327731092437,0.16074303405572768
78,CE,DEPUTADO ESTADUAL,AMARELA,0.004709576138147566,0.0033613445378151263,-0.2862745098039215
79,CE,DEPUTADO ESTADUAL,INDÍGENA,0.0031397174254317113,0.013445378151260505,3.282352941176471
80,CE,DEPUTADO FEDERAL,BRANCA,0.47465437788018433,0.4198473282442748,-0.11546727933002301
81,CE,DEPUTADO FEDERAL,PRETA,0.06451612903225806,0.061068702290076333,-0.05343511450381681
82,CE,DEPUTADO FEDERAL,PARDA,0.45622119815668205,0.5038167938931297,0.10432569974554691
83,CE,DEPUTADO FEDERAL,AMARELA,0.0,0.011450381679389313,inf
84,CE,DEPUTADO FEDERAL,INDÍGENA,0.004608294930875576,0.003816793893129771,-0.17175572519083973
85,CE,SENADOR,BRANCA,0.5,0.6923076923076923,0.3846153846153846
86,CE,SENADOR,PRETA,0.25,0.07692307692307693,-0.6923076923076923
87,CE,SENADOR,PARDA,0.25,0.23076923076923078,-0.07692307692307687
88,CE,SENADOR,AMARELA,0.0,0.0,
89,CE,SENADOR,INDÍGENA,0.0,0.0,
90,DF,DEPUTADO DISTRITAL,BRANCA,0.5009746588693957,0.41007194244604317,-0.18145172577890997
91,DF,DEPUTADO DISTRITAL,PRETA,0.10136452241715399,0.11202466598150052,0.10516641631749553
92,DF,DEPUTADO DISTRITAL,PARDA,0.39571150097465885,0.47173689619732784,0.19212328940506992
93,DF,DEPUTADO DISTRITAL,AMARELA,0.0,0.0051387461459403904,inf
94,DF,DEPUTADO DISTRITAL,INDÍGENA,0.001949317738791423,0.0010277492291880781,-0.4727646454265159
95,DF,DEPUTADO FEDERAL,BRANCA,0.5895522388059702,0.4734042553191489,-0.19701050363587402
96,DF,DEPUTADO FEDERAL,PRETA,0.08208955223880597,0.06382978723404255,-0.22243713733075443
97,DF,DEPUTADO FEDERAL,PARDA,0.3208955223880597,0.44148936170212766,0.37580405739732814
98,DF,DEPUTADO FEDERAL,AMARELA,0.007462686567164179,0.005319148936170213,-0.2872340425531915
99,DF,DEPUTADO FEDERAL,INDÍGENA,0.0,0.015957446808510637,inf
100,DF,SENADOR,BRANCA,0.875,0.6,-0.31428571428571433
101,DF,SENADOR,PRETA,0.125,0.05,-0.6
102,DF,SENADOR,PARDA,0.0,0.35,inf
103,DF,SENADOR,AMARELA,0.0,0.0,
104,DF,SENADOR,INDÍGENA,0.0,0.0,
105,ES,DEPUTADO ESTADUAL,BRANCA,0.5341506129597198,0.44680851063829785,-0.16351587024764563
106,ES,DEPUTADO ESTADUAL,PRETA,0.1138353765323993,0.09656301145662848,-0.1517310839733098
107,ES,DEPUTADO ESTADUAL,PARDA,0.3467600700525394,0.45499181669394434,0.3121228653143547
108,ES,DEPUTADO ESTADUAL,AMARELA,0.0,0.0,
109,ES,DEPUTADO ESTADUAL,INDÍGENA,0.005253940455341506,0.0016366612111292963,-0.6884888161483905
110,ES,DEPUTADO FEDERAL,BRANCA,0.6105263157894737,0.591715976331361,-0.030810038767598427
111,ES,DEPUTADO FEDERAL,PRETA,0.08947368421052632,0.1242603550295858,0.3887922032718412
112,ES,DEPUTADO FEDERAL,PARDA,0.3,0.27218934911242604,-0.09270216962524651
113,ES,DEPUTADO FEDERAL,AMARELA,0.0,0.0,
114,ES,DEPUTADO FEDERAL,INDÍGENA,0.0,0.011834319526627219,inf
115,ES,SENADOR,BRANCA,0.6666666666666666,0.5454545454545454,-0.18181818181818182
116,ES,SENADOR,PRETA,0.16666666666666666,0.2727272727272727,0.6363636363636364
117,ES,SENADOR,PARDA,0.16666666666666666,0.18181818181818182,0.090909090909091
118,ES,SENADOR,AMARELA,0.0,0.0,
119,ES,SENADOR,INDÍGENA,0.0,0.0,
120,GO,DEPUTADO ESTADUAL,BRANCA,0.5543735224586288,0.48936170212765956,-0.11727078891257993
121,GO,DEPUTADO ESTADUAL,PRETA,0.057919621749408984,0.09070548712206047,0.5660580021482278
122,GO,DEPUTADO ESTADUAL,PARDA,0.3817966903073286,0.4143337066069429,0.08522079191787525
123,GO,DEPUTADO ESTADUAL,AMARELA,0.0035460992907801418,0.005599104143337066,0.5789473684210527
124,GO,DEPUTADO ESTADUAL,INDÍGENA,0.002364066193853428,0.0,-1.0
125,GO,DEPUTADO FEDERAL,BRANCA,0.5738636363636364,0.6008771929824561,0.04707312836546811
126,GO,DEPUTADO FEDERAL,PRETA,0.056818181818181816,0.08771929824561403,0.5438596491228069
127,GO,DEPUTADO FEDERAL,PARDA,0.36363636363636365,0.31140350877192985,-0.14364035087719293
128,GO,DEPUTADO FEDERAL,AMARELA,0.0,0.0,
129,GO,DEPUTADO FEDERAL,INDÍGENA,0.005681818181818182,0.0,-1.0
130,GO,SENADOR,BRANCA,0.8571428571428571,0.75,-0.12499999999999994
131,GO,SENADOR,PRETA,0.0,0.0,
132,GO,SENADOR,PARDA,0.14285714285714285,0.25,0.7500000000000001
133,GO,SENADOR,AMARELA,0.0,0.0,
134,GO,SENADOR,INDÍGENA,0.0,0.0,
135,MA,DEPUTADO ESTADUAL,BRANCA,0.4071550255536627,0.3612167300380228,-0.11282752915347537
136,MA,DEPUTADO ESTADUAL,PRETA,0.151618398637138,0.12737642585551331,-0.1598880676720639
137,MA,DEPUTADO ESTADUAL,PARDA,0.43781942078364566,0.5076045627376425,0.15939252267313683
138,MA,DEPUTADO ESTADUAL,AMARELA,0.0034071550255536627,0.0,-1.0
139,MA,DEPUTADO ESTADUAL,INDÍGENA,0.0,0.0038022813688212928,inf
140,MA,DEPUTADO FEDERAL,BRANCA,0.4218181818181818,0.4077669902912621,-0.03331101439571479
141,MA,DEPUTADO FEDERAL,PRETA,0.2,0.12135922330097088,-0.3932038834951457
142,MA,DEPUTADO FEDERAL,PARDA,0.3781818181818182,0.46601941747572817,0.23226288274831972
143,MA,DEPUTADO FEDERAL,AMARELA,0.0,0.0,
144,MA,DEPUTADO FEDERAL,INDÍGENA,0.0,0.0048543689320388345,inf
145,MA,SENADOR,BRANCA,0.5,0.5454545454545454,0.09090909090909083
146,MA,SENADOR,PRETA,0.16666666666666666,0.2727272727272727,0.6363636363636364
147,MA,SENADOR,PARDA,0.3333333333333333,0.18181818181818182,-0.4545454545454545
148,MA,SENADOR,AMARELA,0.0,0.0,
149,MA,SENADOR,INDÍGENA,0.0,0.0,
150,MT,DEPUTADO ESTADUAL,BRANCA,0.4880952380952381,0.4479768786127168,-0.08219371211053143
151,MT,DEPUTADO ESTADUAL,PRETA,0.11607142857142858,0.10404624277456648,-0.10360160071142731
152,MT,DEPUTADO ESTADUAL,PARDA,0.3869047619047619,0.43352601156069365,0.12049799911071585
153,MT,DEPUTADO ESTADUAL,AMARELA,0.002976190476190476,0.011560693641618497,2.884393063583815
154,MT,DEPUTADO ESTADUAL,INDÍGENA,0.005952380952380952,0.002890173410404624,-0.5144508670520231
155,MT,DEPUTADO FEDERAL,BRANCA,0.5357142857142857,0.45390070921985815,-0.15271867612293144
156,MT,DEPUTADO FEDERAL,PRETA,0.10714285714285714,0.09929078014184398,-0.07328605200945618
157,MT,DEPUTADO FEDERAL,PARDA,0.3482142857142857,0.41843971631205673,0.20167303146026555
158,MT,DEPUTADO FEDERAL,AMARELA,0.0,0.014184397163120567,inf
159,MT,DEPUTADO FEDERAL,INDÍGENA,0.008928571428571428,0.014184397163120567,0.5886524822695036
160,MT,SENADOR,BRANCA,0.5714285714285714,0.5454545454545454,-0.04545454545454547
161,MT,SENADOR,PRETA,0.0,0.09090909090909091,inf
162,MT,SENADOR,PARDA,0.42857142857142855,0.36363636363636365,-0.15151515151515144
163,MT,SENADOR,AMARELA,0.0,0.0,
164,MT,SENADOR,INDÍGENA,0.0,0.0,
165,MS,DEPUTADO ESTADUAL,BRANCA,0.5806451612903226,0.6073446327683616,0.045982423101067114
166,MS,DEPUTADO ESTADUAL,PRETA,0.0576036866359447,0.06497175141242938,0.12790960451977396
167,MS,DEPUTADO ESTADUAL,PARDA,0.3548387096774194,0.307909604519774,-0.13225475089881875
168,MS,DEPUTADO ESTADUAL,AMARELA,0.002304147465437788,0.0,-1.0
169,MS,DEPUTADO ESTADUAL,INDÍGENA,0.004608294930875576,0.01977401129943503,3.2909604519774014
170,MS,DEPUTADO FEDERAL,BRANCA,0.6153846153846154,0.6456692913385826,0.049212598425196735
171,MS,DEPUTADO FEDERAL,PRETA,0.06153846153846154,0.05511811023622047,-0.10433070866141739
172,MS,DEPUTADO FEDERAL,PARDA,0.2846153846153846,0.29133858267716534,0.023622047244094467
173,MS,DEPUTADO FEDERAL,AMARELA,0.0,0.0,
174,MS,DEPUTADO FEDERAL,INDÍGENA,0.038461538461538464,0.007874015748031496,-0.7952755905511811
175,MS,SENADOR,BRANCA,0.8333333333333334,0.9285714285714286,0.11428571428571427
176,MS,SENADOR,PRETA,0.0,0.0,
177,MS,SENADOR,PARDA,0.16666666666666666,0.0,-1.0
178,MS,SENADOR,AMARELA,0.0,0.0,
179,MS,SENADOR,INDÍGENA,0.0,0.07142857142857142,inf
180,MG,DEPUTADO ESTADUAL,BRANCA,0.5788156797331109,0.5,-0.13616714697406332
181,MG,DEPUTADO ESTADUAL,PRETA,0.08924103419516263,0.12191582002902758,0.36614082443742124
182,MG,DEPUTADO ESTADUAL,PARDA,0.32276897414512096,0.3439767779390421,0.06570583139253597
183,MG,DEPUTADO ESTADUAL,AMARELA,0.009174311926605505,0.033381712626995644,2.638606676342525
184,MG,DEPUTADO ESTADUAL,INDÍGENA,0.0,0.000725689404934688,inf
185,MG,DEPUTADO FEDERAL,BRANCA,0.5747126436781609,0.545751633986928,-0.050392156862745126
186,MG,DEPUTADO FEDERAL,PRETA,0.11494252873563218,0.1111111111111111,-0.033333333333333375
187,MG,DEPUTADO FEDERAL,PARDA,0.3017241379310345,0.3213507625272331,0.06504824151882974
188,MG,DEPUTADO FEDERAL,AMARELA,0.008620689655172414,0.020697167755991286,1.4008714596949892
189,MG,DEPUTADO FEDERAL,INDÍGENA,0.0,0.0010893246187363835,inf
190,MG,SENADOR,BRANCA,0.75,0.6666666666666666,-0.11111111111111116
191,MG,SENADOR,PRETA,0.25,0.13333333333333333,-0.4666666666666667
192,MG,SENADOR,PARDA,0.0,0.2,inf
193,MG,SENADOR,AMARELA,0.0,0.0,
194,MG,SENADOR,INDÍGENA,0.0,0.0,
195,PA,DEPUTADO ESTADUAL,BRANCA,0.2846153846153846,0.26207906295754024,-0.07918167068972343
196,PA,DEPUTADO ESTADUAL,PRETA,0.08205128205128205,0.08052708638360176,-0.018576134699853558
197,PA,DEPUTADO ESTADUAL,PARDA,0.6128205128205129,0.6486090775988287,0.058399750056665985
