,uf,cargo,propor10,propor14,propor18,Variação 14-18,Variação 10-14,Variação 10-18
0,AC,DEPUTADO ESTADUAL,0.20103092783505155,0.30754716981132074,0.32196162046908317,0.04686907269088395,0.5298500241896467,0.6015526761795419
1,AC,DEPUTADO FEDERAL,0.2222222222222222,0.3384615384615385,0.34523809523809523,0.02002164502164495,0.5230769230769232,0.5535714285714286
2,AC,SENADOR,0.0,0.25,0.0,-1.0,inf,
3,AL,DEPUTADO ESTADUAL,0.21450151057401812,0.31921824104234525,0.3192771084337349,0.00018441111384312142,0.48818644767628566,0.4884608857967079
4,AL,DEPUTADO FEDERAL,0.2289156626506024,0.32786885245901637,0.34146341463414637,0.041463414634146496,0.4322691975841242,0.4916559691912711
5,AL,SENADOR,0.1,0.125,0.1111111111111111,-0.11111111111111116,0.24999999999999994,0.111111111111111
6,AP,DEPUTADO ESTADUAL,0.27218934911242604,0.30548302872062666,0.33468559837728196,0.09559473656836734,0.12231808377795446,0.22960578534262283
7,AP,DEPUTADO FEDERAL,0.28431372549019607,0.3565217391304348,0.33613445378151263,-0.05718384914941577,0.2539730134932534,0.1822660098522169
8,AP,SENADOR,0.0,0.3,0.25,-0.16666666666666663,inf,inf
9,AM,DEPUTADO ESTADUAL,0.3014354066985646,0.3139717425431711,0.3083969465648855,-0.017755725190839764,0.041588796690837454,0.02309463225493747
10,AM,DEPUTADO FEDERAL,0.30985915492957744,0.3493975903614458,0.3157894736842105,-0.09618874773139754,0.12760131434830244,0.019138755980861268
11,AM,SENADOR,0.2,0.0,0.1111111111111111,inf,-1.0,-0.44444444444444453
12,BA,DEPUTADO ESTADUAL,0.17052023121387283,0.30654761904761907,0.3073322932917317,0.0025597140390469417,0.7977199354318,0.8023215843887993
13,BA,DEPUTADO FEDERAL,0.11785714285714285,0.3281653746770026,0.3286573146292585,0.0014990611143547074,1.7844334821079006,1.7886075180664358
14,BA,SENADOR,0.18181818181818182,0.2857142857142857,0.0,-1.0,0.5714285714285713,-1.0
15,CE,DEPUTADO ESTADUAL,0.2902155887230514,0.31240188383045525,0.30756302521008405,-0.015489210759680678,0.07644763399865434,0.05977430972388958
16,CE,DEPUTADO FEDERAL,0.2597402597402597,0.2995391705069124,0.32061068702290074,0.0703464474456841,0.15322580645161293,0.23435114503816798
17,CE,SENADOR,0.2,0.5,0.15384615384615385,-0.6923076923076923,1.4999999999999998,-0.23076923076923078
18,DF,DEPUTADO DISTRITAL,0.25339366515837103,0.3079922027290448,0.31449126413155193,0.02110138290814018,0.21546922862712337,0.24111731023344607
19,DF,DEPUTADO FEDERAL,0.2288135593220339,0.3283582089552239,0.31382978723404253,-0.044245647969052296,0.4350469872857933,0.371552403467297
20,DF,SENADOR,0.15384615384615385,0.125,0.15,0.19999999999999996,-0.18750000000000006,-0.02500000000000009
21,ES,DEPUTADO ESTADUAL,0.10978520286396182,0.3169877408056042,0.31260229132569556,-0.013834760513965975,1.8873448564684383,1.847399131857966
22,ES,DEPUTADO FEDERAL,0.16666666666666666,0.3157894736842105,0.33727810650887574,0.06804733727810658,0.8947368421052632,1.0236686390532546
23,ES,SENADOR,0.2,0.16666666666666666,0.18181818181818182,0.090909090909091,-0.16666666666666677,-0.09090909090909094
24,GO,DEPUTADO ESTADUAL,0.21395348837209302,0.3061465721040189,0.3191489361702128,0.04247104247104253,0.43090245657313186,0.49167437557816845
25,GO,DEPUTADO FEDERAL,0.09933774834437085,0.3125,0.3333333333333333,0.06666666666666661,2.1458333333333335,2.3555555555555556
26,GO,SENADOR,0.1,0.14285714285714285,0.25,0.7500000000000001,0.42857142857142844,1.4999999999999998
27,MA,DEPUTADO ESTADUAL,0.14523809523809525,0.32538330494037476,0.32509505703422054,-0.0008858718372383819,1.2403440668025802,1.2383594090880756
28,MA,DEPUTADO FEDERAL,0.1206896551724138,0.32727272727272727,0.33495145631067963,0.023462783171521097,1.7116883116883115,1.7753120665742024
29,MA,SENADOR,0.16666666666666666,0.0,0.18181818181818182,inf,-1.0,0.090909090909091
30,MT,DEPUTADO ESTADUAL,0.26058631921824105,0.31845238095238093,0.31213872832369943,-0.019826049376046578,0.2220610119047618,0.19783236994219655
31,MT,DEPUTADO FEDERAL,0.2604166666666667,0.33035714285714285,0.3475177304964539,0.05194556258386049,0.26857142857142846,0.3344680851063829
32,MT,SENADOR,0.0,0.0,0.18181818181818182,inf,,inf
33,MS,DEPUTADO ESTADUAL,0.2537313432835821,0.3387096774193548,0.327683615819209,-0.0325531342480495,0.3349146110056925,0.2914589564639414
34,MS,DEPUTADO FEDERAL,0.32432432432432434,0.3384615384615385,0.33070866141732286,-0.022906227630637065,0.04358974358974359,0.019685039370078754
35,MS,SENADOR,0.0,0.16666666666666666,0.07142857142857142,-0.5714285714285714,inf,inf
36,MG,DEPUTADO ESTADUAL,0.15321849501359927,0.3211009174311927,0.3127721335268505,-0.025938212730665593,1.0957059877313937,1.0413471200006872
37,MG,DEPUTADO FEDERAL,0.1478537360890302,0.3146551724137931,0.3137254901960784,-0.0029546065001342836,1.1281516499814608,1.121863799283154
38,MG,SENADOR,0.15384615384615385,0.25,0.26666666666666666,0.06666666666666665,0.6249999999999999,0.7333333333333332
39,PA,DEPUTADO ESTADUAL,0.29073482428115016,0.3128205128205128,0.32650073206442165,0.043731848402659375,0.07596506058044518,0.12301900149630743
40,PA,DEPUTADO FEDERAL,0.2777777777777778,0.3302325581395349,0.3049645390070922,-0.07651583258415746,0.18883720930232556,0.09787234042553185
41,PA,SENADOR,0.18181818181818182,0.18181818181818182,0.1111111111111111,-0.38888888888888895,0.0,-0.38888888888888895
42,PB,DEPUTADO ESTADUAL,0.22955974842767296,0.3333333333333333,0.31116389548693585,-0.0665083135391924,0.4520547945205478,0.35548107897048764
43,PB,DEPUTADO FEDERAL,0.20618556701030927,0.3076923076923077,0.3270440251572327,0.06289308176100618,0.49230769230769245,0.5861635220125786
44,PB,SENADOR,0.125,0.25,0.14285714285714285,-0.4285714285714286,1.0,0.1428571428571428
45,PR,DEPUTADO ESTADUAL,0.2574102964118565,0.31560283687943264,0.30799475753604194,-0.024106498593664896,0.22606920266494737,0.196512967155169
46,PR,DEPUTADO FEDERAL,0.24629080118694363,0.3168604651162791,0.30648769574944074,-0.03273607946965495,0.2865298402913981,0.24441389719953643
47,PR,SENADOR,0.08333333333333333,0.0,0.25,inf,-1.0,2.0000000000000004
48,PE,DEPUTADO ESTADUAL,0.15732758620689655,0.3157894736842105,0.30927835051546393,-0.020618556701030837,1.0072098053352558,0.9658240361530859
49,PE,DEPUTADO FEDERAL,0.08040201005025126,0.32,0.31741573033707865,-0.00807584269662924,2.98,2.9478581460674156
50,PE,SENADOR,0.18181818181818182,0.4,0.3333333333333333,-0.16666666666666677,1.2,0.8333333333333331
51,PI,DEPUTADO ESTADUAL,0.2577777777777778,0.32558139534883723,0.31627906976744186,-0.028571428571428654,0.26303127506014445,0.2269446672012831
52,PI,DEPUTADO FEDERAL,0.2905982905982906,0.3333333333333333,0.3333333333333333,0.0,0.1470588235294116,0.1470588235294116
53,PI,SENADOR,0.15384615384615385,0.0,0.1111111111111111,inf,-1.0,-0.27777777777777785
54,RJ,DEPUTADO ESTADUAL,0.3039480800432666,0.30338733431516934,0.31104769669792093,0.02524944688295304,-0.0018448734008040348,0.02335799144920963
55,RJ,DEPUTADO FEDERAL,0.30570505920344454,0.3071230342275671,0.30783078307830786,0.0023044473122011007,0.004638376047217788,0.0069535122526338785
56,RJ,SENADOR,0.0,0.125,0.23529411764705882,0.8823529411764706,inf,inf
57,RN,DEPUTADO ESTADUAL,0.21019108280254778,0.3357664233576642,0.3302752293577982,-0.016354208216992305,0.5974341959743418,0.5713094245204338
58,RN,DEPUTADO FEDERAL,0.16393442622950818,0.32,0.3333333333333333,0.04166666666666659,0.9520000000000002,1.0333333333333334
59,RN,SENADOR,0.14285714285714285,0.6,0.26666666666666666,-0.5555555555555556,3.2,0.8666666666666667
60,RS,DEPUTADO ESTADUAL,0.2747603833865815,0.31345353675450766,0.32037691401649,0.02208741153048346,0.1408250814437313,0.1660229545018763
61,RS,DEPUTADO FEDERAL,0.2643312101910828,0.3211009174311927,0.3254156769596199,0.013437393959959142,0.21476732618547592,0.23109063331711635
62,RS,SENADOR,0.3333333333333333,0.125,0.3333333333333333,1.6666666666666665,-0.625,0.0
63,RO,DEPUTADO ESTADUAL,0.17232375979112272,0.3236607142857143,0.32096069868995636,-0.008342117151031437,0.878212932900433,0.8625446605795952
64,RO,DEPUTADO FEDERAL,0.24390243902439024,0.3263157894736842,0.3333333333333333,0.021505376344085916,0.33789473684210536,0.36666666666666664
65,RO,SENADOR,0.1111111111111111,0.25,0.0625,-0.75,1.2500000000000002,-0.43749999999999994
66,RR,DEPUTADO ESTADUAL,0.2937219730941704,0.31678486997635935,0.3257261410788382,0.028225057286183176,0.07851948098821575,0.1089607551233727
67,RR,DEPUTADO FEDERAL,0.28378378378378377,0.32941176470588235,0.33116883116883117,0.0053339517625232025,0.16078431372549024,0.1669758812615956
68,RR,SENADOR,0.2222222222222222,0.16666666666666666,0.18181818181818182,0.090909090909091,-0.25,-0.18181818181818174
69,SC,DEPUTADO ESTADUAL,0.29041095890410956,0.32382892057026474,0.3168103448275862,-0.02167371502927781,0.11507128309572305,0.09090354586857519
70,SC,DEPUTADO FEDERAL,0.3058823529411765,0.33793103448275863,0.32661290322580644,-0.03349242922975648,0.1047745358090185,0.0677729528535979
71,SC,SENADOR,0.16666666666666666,0.2857142857142857,0.21428571428571427,-0.25,0.7142857142857143,0.2857142857142857
72,SP,DEPUTADO ESTADUAL,0.18977732793522267,0.307475317348378,0.3202584217812644,0.04157440845374516,0.6201899388810532,0.6875483771727425
73,SP,DEPUTADO FEDERAL,0.21003134796238246,0.31266846361185985,0.31331747919143876,0.002075730862273945,0.4886752222713923,0.49176531137416357
74,SP,SENADOR,0.1111111111111111,0.18181818181818182,0.3,0.6499999999999999,0.6363636363636365,1.7
75,SE,DEPUTADO ESTADUAL,0.15602836879432624,0.3333333333333333,0.3303303303303303,-0.009009009009008973,1.1363636363636362,1.117117117117117
76,SE,DEPUTADO FEDERAL,0.16923076923076924,0.3258426966292135,0.3170731707317073,-0.026913372582001726,0.9254341164453525,0.8736141906873613
77,SE,SENADOR,0.07142857142857142,0.2,0.07142857142857142,-0.6428571428571429,1.8000000000000003,0.0
78,TO,DEPUTADO ESTADUAL,0.14655172413793102,0.3049645390070922,0.3246753246753247,0.06463304137722743,1.0809345014601588,1.2154316271963332
79,TO,DEPUTADO FEDERAL,0.2127659574468085,0.32142857142857145,0.3488372093023256,0.08527131782945731,0.5107142857142858,0.6395348837209303
80,TO,SENADOR,0.0,0.3333333333333333,0.0,-1.0,inf,
